,Second Peak Amplitude,Angle,Real/Predicted
193,0.4237767125760356,68.0,Predicted
194,0.3757623001565808,68.0,Predicted
195,0.5300161355783486,54.0,Predicted
196,0.469275859812342,54.0,Predicted
197,0.8030519175008278,68.0,Predicted
198,0.27227216810290217,64.0,Predicted
199,0.6940025781921904,70.0,Predicted
200,0.5781814122298262,64.0,Predicted
201,0.3568000575525299,62.0,Predicted
202,0.5970069871119749,64.0,Predicted
203,0.4336577216097049,68.0,Predicted
204,0.41425772402354694,64.0,Predicted
205,0.6486432817031927,56.0,Predicted
206,0.44331050291689256,58.0,Predicted
207,0.36380416208644284,62.0,Predicted
208,0.5488720025074751,66.0,Predicted
209,0.622375529055114,50.0,Predicted
210,0.5461873803289384,64.0,Predicted
211,0.24092017829607895,56.0,Predicted
212,0.6462782750083483,64.0,Predicted
213,0.5902312244733684,68.0,Predicted
214,0.2736029108059823,62.0,Predicted
215,0.6322754524684496,68.0,Predicted
216,0.7056418974479435,70.0,Predicted
217,0.2866060986618705,64.0,Predicted
218,0.6778631709237602,64.0,Predicted
219,0.7305686883857304,68.0,Predicted
220,0.5433653103173772,60.0,Predicted
221,0.233499023660879,68.0,Predicted
222,0.4908846109211601,66.0,Predicted
223,0.9170097833726131,60.0,Predicted
224,0.9434384744635846,50.0,Predicted
225,0.6017835730512369,52.0,Predicted
226,0.499759582387401,66.0,Predicted
227,0.25972808580809237,58.0,Predicted
228,0.7525050214952238,66.0,Predicted
229,0.6910539734197344,70.0,Predicted
230,0.34017481106530956,54.0,Predicted
231,0.5987053575329457,64.0,Predicted
232,0.47475276166571656,60.0,Predicted
233,0.5416146427816916,60.0,Predicted
234,0.7094677251721395,54.0,Predicted
235,0.43988064283124206,58.0,Predicted
236,0.5174703511083156,68.0,Predicted
237,0.2474620301043567,64.0,Predicted
238,0.42127821864771764,62.0,Predicted
239,0.5981274744414764,52.0,Predicted
240,0.501105588468595,60.0,Predicted
241,0.6834340955390021,70.0,Predicted
242,0.3492592800664649,66.0,Predicted
243,0.39011318576795284,62.0,Predicted
244,0.6110328901046003,56.0,Predicted
245,0.4129221784518497,54.0,Predicted
246,0.5387675142181111,54.0,Predicted
247,0.417121390144063,54.0,Predicted
248,0.4631085433416586,68.0,Predicted
249,0.6078660558370149,58.0,Predicted
250,0.4956505397697369,68.0,Predicted
251,0.3714886517230775,62.0,Predicted
252,0.533450568432504,66.0,Predicted
253,0.3399653038454172,62.0,Predicted
254,0.46696710541773834,54.0,Predicted
255,0.33115091451251255,60.0,Predicted
256,0.6052875319598006,52.0,Predicted
257,0.5508491934671751,62.0,Predicted
258,0.7028214449383016,70.0,Predicted
259,0.23788734206902457,64.0,Predicted
260,0.5938188473089309,70.0,Predicted
261,0.32276251250473953,60.0,Predicted
262,0.3386898658103428,70.0,Predicted
263,0.43136413791916567,58.0,Predicted
264,0.7337255963703171,54.0,Predicted
265,0.5137013784345069,60.0,Predicted
266,0.7663814227896222,70.0,Predicted
267,0.3358783901271107,52.0,Predicted
268,0.4097705546197445,70.0,Predicted
269,0.545124467154056,64.0,Predicted
270,0.6642431583735715,62.0,Predicted
271,0.5839454307554807,50.0,Predicted
272,0.6636620792650987,54.0,Predicted
273,0.36348568185133595,68.0,Predicted
274,0.37126538546959037,58.0,Predicted
275,0.24313271245405524,66.0,Predicted
276,0.5991940228872817,60.0,Predicted
277,0.4223141656584998,70.0,Predicted
278,0.3895619545503504,70.0,Predicted
279,0.7510567880197423,62.0,Predicted
280,0.9656131205937473,54.0,Predicted
281,0.40185134484694,62.0,Predicted
282,0.3947286858006268,60.0,Predicted
283,0.2762022144518011,70.0,Predicted
284,0.5837294700012626,58.0,Predicted
285,0.5540408813604636,56.0,Predicted
286,0.548165760585389,52.0,Predicted
287,0.7008151857779676,68.0,Predicted
288,0.38290228869537796,54.0,Predicted
289,0.2863379197982082,62.0,Predicted
290,0.30478325468956824,62.0,Predicted
291,0.5296010637715661,52.0,Predicted
292,0.26210414256516323,52.0,Predicted
293,0.7993200752974762,70.0,Predicted
294,0.7473500303224568,68.0,Predicted
295,0.38883579309931304,70.0,Predicted
296,0.6866311247797262,58.0,Predicted
297,0.7995048743315024,52.0,Predicted
298,0.4320453550589066,56.0,Predicted
299,0.7801753358328969,52.0,Predicted
300,0.5528090327030799,60.0,Predicted
301,0.8717961716634421,54.0,Predicted
302,0.6470879915562974,58.0,Predicted
303,0.583653313967828,60.0,Predicted
304,0.7144799160568509,68.0,Predicted
305,0.2707529759234802,56.0,Predicted
306,0.9820411596637881,68.0,Predicted
307,0.5701293287152356,52.0,Predicted
